Model,MAE,RMSE
"OSRM in Feature, Log Ratio",0.6046998269240274,1.973670468628254
"OSRM Log in Feature, Log Ratio",0.6047004278473848,1.9736706595885303
"OSRM Log in Feature, Ratio",0.6052052507493206,1.9733016685023084
"OSRM in Feature, Ratio",0.6052053245292358,1.973301693511705
"OSRM km sec Feature, Direct",0.6064695929541287,1.96365773376198
"OSRM km and sec Feature, Ratio",0.6067555649902456,1.9738763483271313
"OSRM not in Feature, Log Ratio",0.6095116119880805,1.9821741713031247
"OSRM not in Feature, Ratio",0.6099583569713226,1.9833391966162242
"OSRM km Feature, Direct",0.6118378180118478,1.9689594558007026
"OSRM sec in Feature, Ratio",0.613609785595851,1.9838476487815186
OSRM KM No Change,0.7213093960915599,1.9427703095335669
Constant-median baseline  MAE,2.892214406167089,4.37129982725523
