Model,MAE,RMSE
"OSRM km and sec Feature, Ratio",0.592087840673372,1.541507633978613
"OSRM km sec Feature, Direct",0.5930429528411149,1.535330187487857
"OSRM Log in Feature, Ratio",0.5950647191694091,1.5096961248326877
"OSRM in Feature, Ratio",0.5950653954735998,1.5096963132189007
"OSRM Log in Feature, Log Ratio",0.5950755088724713,1.5118081087971609
"OSRM in Feature, Log Ratio",0.5950759356492171,1.5118082880890071
"OSRM sec in Feature, Ratio",0.5973762228259857,1.5506741038331144
"OSRM km Feature, Direct",0.597518309388684,1.5397740685737005
"OSRM not in Feature, Log Ratio",0.599847162571427,1.51984470800854
"OSRM not in Feature, Ratio",0.6012326303545981,1.527368051210739
OSRM KM No Change,0.7213093960915599,1.9427703095335667
Constant-median baseline  MAE,2.8817908311938605,4.393512153589735
