Model,MAE,RMSE
Ratio OSRM Duration using all 3,186.6868423815974,346.9379586470388
Ratio OSRM Duration using OSRM km,187.12261644605832,346.8446021080585
Ratio OSRM Duration using Predicted km,187.19531933403624,347.8776309035455
Ratio Engineered Time using Pred KM & Traffic - Feature includes OSRM KM,187.81687805183276,347.6830017899213
Ratio Engineered Time using Pred KM & Traffic - Feature includes Predicted KM,187.8557989441243,348.0725283036149
LightGBM quantileOSRM SECONDS & OSRM KM,188.35830514800654,349.494775497555
LightGBM quantileOSRM SECONDS & OSRM KM & KM PRED,188.38743537939402,349.6410865271068
LightGBMOSRM SECONDS & PREDICTED,188.4715734622047,349.4502488533705
LightGBM quantileOSRM SECONDS & PREDICTED,188.48714455267515,349.60429255202575
LightGBMOSRM SECONDS & OSRM KM,188.5856531448037,349.6987816875968
LightGBM quantileOSRM SECONDS,188.70633747293678,349.7217371662874
LightGBMOSRM SECONDS & OSRM KM & KM PRED,188.89788209020557,349.9498634736867
LightGBMOSRM SECONDS,189.08263955649448,350.02336147598595
Ratio of OSRM and Predicted and Error Bias,196.156501425734,372.80046208092045
LightGBM quantilePREDICTED DISTANCE,197.58628713296773,375.7931890524534
LightGBMPREDICTED DISTANCE,197.60596812371443,375.8594132931752
LightGBM quantileOSRM DISTANCE,198.14303648452932,374.8482302750631
LightGBMOSRM DISTANCE,198.19936833598274,375.33939083951884
Engineered Seconds with Traffic and OSRM Distance no ML ,283.4693631754973,466.9588567648267
Engineered Seconds with Traffic and Predicted Distance no ML ,296.2178163245333,472.8771168443561
Ratio Engineered Time using OSRM KM & Traffic - Feature includes Predicted KM,306.59202918600255,12667.291731704241
Ratio Engineered Time using OSRM KM & Traffic - Feature includes OSRM KM,306.59202918600255,12667.291731704241
OSRM Seconds no change,363.6283214803444,562.838419734061
Constant-median baseline  MAE,529.8163046101696,760.309182414734
