Model,MAE,RMSE
Ratio OSRM Duration using all 3,187.60119185477276,346.9740732025709
Ratio OSRM Duration using OSRM km,188.1074298556628,347.4810935966786
Ratio OSRM Duration using Predicted km,188.30599734407303,348.90439087810614
LightGBM quantileOSRM SECONDS & OSRM KM,189.66787957066256,350.709414189503
LightGBMOSRM SECONDS & OSRM KM,189.66787957066256,350.709414189503
LightGBMOSRM SECONDS & PREDICTED,189.7219437406122,350.88406629214956
LightGBM quantileOSRM SECONDS & PREDICTED,189.7219437406122,350.88406629214956
LightGBMOSRM SECONDS & OSRM KM & KM PRED,189.92780628069428,350.96708547984196
LightGBM quantileOSRM SECONDS & OSRM KM & KM PRED,189.92780628069428,350.96708547984196
Ratio Engineered Time using Pred KM & Traffic - Feature includes Predicted KM,189.9362179120277,350.69382205195416
Ratio of OSRM and Predicted and Error Bias,190.01750848193316,355.7694129977137
LightGBMOSRM SECONDS,190.10117971524784,350.8965083160704
LightGBM quantileOSRM SECONDS,190.10117971524784,350.8965083160704
Ratio Engineered Time using Pred KM & Traffic - Feature includes OSRM KM,190.4943773055222,351.39771551271264
LightGBMPREDICTED DISTANCE,191.81549051241694,360.04131773692603
LightGBM quantilePREDICTED DISTANCE,191.96499742652466,359.84386396917847
LightGBMOSRM DISTANCE,192.09067768969405,357.7023087522199
LightGBM quantileOSRM DISTANCE,192.15186137734688,357.6784954107525
Ratio Engineered Time using OSRM KM & Traffic - Feature includes Predicted KM,205.77103866337274,1134.2192898031622
Ratio Engineered Time using OSRM KM & Traffic - Feature includes OSRM KM,205.77103866337274,1134.2192898031622
Engineered Seconds with Traffic and OSRM Distance no ML ,283.4693631754973,466.9588567648267
Engineered Seconds with Traffic and Predicted Distance no ML ,297.188601255018,478.68017299882206
OSRM Seconds no change,363.6283214803444,562.838419734061
Constant-median baseline  MAE,520.9073209491526,741.5016971846967
