Model,MAE,RMSE
LightGBMOSRM SECONDS & PREDICTED,191.25753959920212,362.9739647400836
LightGBM quantileOSRM SECONDS & PREDICTED,191.25753959920212,362.9739647400836
LightGBMOSRM SECONDS & OSRM KM & KM PRED,191.54065924811167,363.0194976514212
LightGBM quantileOSRM SECONDS & OSRM KM & KM PRED,191.54065924811167,363.0194976514212
LightGBMOSRM SECONDS & OSRM KM,191.61588367696334,362.9299921635748
LightGBM quantileOSRM SECONDS & OSRM KM,191.61588367696334,362.9299921635748
LightGBM quantileOSRM SECONDS,192.38263675812374,363.51724964704965
LightGBMOSRM SECONDS,192.38263675812374,363.51724964704965
Ratio of OSRM and Predicted and Error Bias,192.7403242864898,350.65968737616544
Ratio OSRM Duration using all 3,193.94283719140736,395.67066389050024
Ratio OSRM Duration using OSRM km,194.65711105070994,411.67434825853627
LightGBMPREDICTED DISTANCE,195.8664704558566,354.58775917839193
LightGBM quantilePREDICTED DISTANCE,195.8664704558566,354.58775917839193
LightGBMOSRM DISTANCE,196.20465435167597,354.8213667111397
LightGBM quantileOSRM DISTANCE,196.20465435167597,354.8213667111397
Ratio Engineered Time using Pred KM & Traffic - Feature includes OSRM KM,196.22162430420514,397.52364464963296
Ratio Engineered Time using Pred KM & Traffic - Feature includes Predicted KM,196.26085617249026,403.260217181467
Ratio Engineered Time using OSRM KM & Traffic - Feature includes Predicted KM,196.56446358965636,405.8939917329103
Ratio Engineered Time using OSRM KM & Traffic - Feature includes OSRM KM,196.56446358965636,405.8939917329103
Ratio OSRM Duration using Predicted km,196.9169883627284,446.95355527383884
Engineered Seconds with Traffic and OSRM Distance no ML ,283.7214393078986,466.92151227625874
Engineered Seconds with Traffic and Predicted Distance no ML ,303.2899116134752,495.45301727283925
OSRM Seconds no change,363.2970237745673,562.914757124734
Constant-median baseline  MAE,520.2590521694915,738.867682637894
