Model,MAE,RMSE
Light GBM Log Quantile Median Regression + km_pred+sec_pred,1.6161666182633248,3.3257964951484262
Light GBM Log Quantile Median Regression + km_pred+sec_pred+osrm_km,1.616597138590895,3.3303579691647536
Light GBM Log Quantile Median Regression + sec_pred+osrm_km,1.6177902700465696,3.3284473991408734
Light GBM Log Quantile Median Regression + km_pred+sec_pred+osrm_sec,1.6200006808338585,3.335475215788547
BLENDED Light GBM and XGBOOST + km_pred+osrm_sec,1.6208328487044374,3.197215415076064
Light GBM Log Quantile Median Regression + sec_pred+osrm_sec+osrm_km,1.6214193729091437,3.3343991876323322
BLENDED Light GBM and XGBOOST + sec_pred+osrm_km,1.6214195252662063,3.1962404131596425
Light GBM Log Quantile Median Regression + km_pred+sec_pred+osrm_sec+osrm_km,1.6215507139980196,3.3344110696855656
BLENDED Light GBM and XGBOOST + km_pred,1.6218472704967628,3.196628570633201
BLENDED Light GBM and XGBOOST + km_pred+osrm_sec+osrm_km,1.6220966213569632,3.1999684804307287
Light GBM Log Quantile Median Regression + km_pred+osrm_sec,1.6222167710767998,3.3405888129938988
BLENDED Light GBM and XGBOOST + km_pred+sec_pred+osrm_sec,1.6223294884076978,3.199091196302897
BLENDED Light GBM and XGBOOST + km_pred+sec_pred,1.6223894154744265,3.203150737857907
Log-LightGBM and sec_pred+osrm_km,1.6224121197603392,3.204833398774601
Log-LightGBM and km_pred+sec_pred+osrm_sec,1.622449975809828,3.2065459652788557
BLENDED Light GBM and XGBOOST + km_pred+sec_pred+osrm_km,1.6225477375791744,3.201058982407027
Log-LightGBM and km_pred+sec_pred+osrm_km,1.6225976170015919,3.2083897579062697
BLENDED Light GBM and XGBOOST + km_pred+osrm_km,1.6227005269218207,3.19659377266195
LightGBM_regressionl1km_pred+sec_pred,1.6227290012811817,3.3434678739757735
Log-LightGBM and km_pred,1.6227602609213958,3.206486672130572
Log-LightGBM and km_pred+osrm_sec,1.6228427090250965,3.207983015931172
Light GBM Log Quantile Median Regression + km_pred+osrm_sec+osrm_km,1.6229559908959523,3.3386605937484273
Log-LightGBM and km_pred+sec_pred,1.6231364943612243,3.2115578861644525
Log-LightGBM and km_pred+osrm_sec+osrm_km,1.623260902155767,3.2094199774636003
Log-LightGBM and km_pred+sec_pred+osrm_sec+osrm_km,1.6234358238031987,3.2067779292719614
Log-LightGBM and km_pred+osrm_km,1.6234626620054347,3.205446903108863
Log-LightGBM and sec_pred+osrm_sec+osrm_km,1.623601105280432,3.207722468894545
BLENDED Light GBM and XGBOOST + sec_pred+osrm_sec+osrm_km,1.6237027955257204,3.2004334467468034
BLENDED Light GBM and XGBOOST + km_pred+sec_pred+osrm_sec+osrm_km,1.6238271500364458,3.2001120777017085
LightGBM_regressionl1km_pred+sec_pred+osrm_km,1.62393365064717,3.3437126770719683
Light GBM Log Quantile Median Regression + km_pred,1.624045788790762,3.3414793382366184
Light GBM Log Quantile Median Regression + km_pred+osrm_km,1.6241660487551275,3.3374444827751883
LightGBM_regressionl1sec_pred+osrm_km,1.6248841664035332,3.3431954540337805
LightGBM_regressionl1km_pred+sec_pred+osrm_sec+osrm_km,1.6261962594318626,3.3453371368789906
Light GBM Log Quantile Median Regression + sec_pred+osrm_sec,1.6272395751764954,3.336722886805607
LightGBM_regressionl1sec_pred+osrm_sec+osrm_km,1.6272918911768885,3.348105768009212
BLENDED Light GBM and XGBOOST + sec_pred+osrm_sec,1.6294215607914155,3.20238069915753
LightGBM_regressionl1km_pred+sec_pred+osrm_sec,1.6301566333601578,3.3576342821733722
Log-LightGBM and sec_pred+osrm_sec,1.6308595895451223,3.210910066339615
Light GBM Log Quantile Median Regression + sec_pred,1.6317418096157332,3.3324698619279793
BLENDED Light GBM and XGBOOST + sec_pred,1.6326458294857797,3.205869408191061
Log-LightGBM and sec_pred,1.6347327919662273,3.2151735927675738
LightGBM_regressionl1km_pred+osrm_sec,1.6353160248222307,3.3655994140144725
LightGBM_regressionl1km_pred+osrm_sec+osrm_km,1.6362842306932084,3.3639516836838332
LightGBM_regressionl1sec_pred,1.636962840735203,3.345508712929204
LightGBM_regressionl1km_pred,1.637498900997075,3.368452581032182
LightGBM_regressionl1sec_pred+osrm_sec,1.6394504888217287,3.3593261610608387
Light GBM Log Quantile Median Regression + osrm_sec+osrm_km,1.640425698485946,3.36403422205307
LightGBM_regressionl1km_pred+osrm_km,1.6404511419467696,3.3691941106084347
BLENDED Light GBM and XGBOOST + osrm_sec+osrm_km,1.6407685806607721,3.2365142871705195
Log-LightGBM and osrm_sec+osrm_km,1.6428970595418704,3.247505076614542
BLENDED Light GBM and XGBOOST + osrm_km,1.6436710075955006,3.238457945193931
Log-LightGBM and osrm_km,1.6459025619670251,3.250089928341506
BLENDED Light GBM and XGBOOST + osrm_sec,1.6483071302895957,3.2398709772830743
Light GBM Log Quantile Median Regression + osrm_km,1.6494140282378356,3.3792003742749315
Log-XGB + km_pred+osrm_sec,1.6503979468872647,3.2047864317064003
Light GBM Log Quantile Median Regression + osrm_sec,1.6506479008566515,3.366671518035919
Log-XGB + sec_pred+osrm_km,1.6511866502814947,3.2081051774873672
Log-LightGBM and osrm_sec,1.6521044125457853,3.253468964298196
Log-XGB + km_pred+osrm_sec+osrm_km,1.6534002128294247,3.2096590351032526
Log-XGB + km_pred+sec_pred,1.653984814389112,3.215562429946466
Log-XGB + km_pred+sec_pred+osrm_km,1.6540041926924562,3.216022113229896
Log-XGB + km_pred,1.6540816276160226,3.206208692470792
Log-XGB + km_pred+sec_pred+osrm_sec,1.6541523405662835,3.213301123010986
Log-XGB + km_pred+osrm_km,1.6547743820248273,3.2084422112778452
LightGBM_regressionl1osrm_sec+osrm_km,1.6559064563270827,3.392417035588972
Log-XGB + sec_pred+osrm_sec+osrm_km,1.6566736383370941,3.216775490917296
Log-XGB + km_pred+sec_pred+osrm_sec+osrm_km,1.6573764611084416,3.2177660266271153
Log-XGB + sec_pred+osrm_sec,1.6581162055396728,3.2151235557654676
LightGBM_regressionl1osrm_km,1.6599697929583588,3.396857616807853
Log-XGB + sec_pred,1.6600172096824732,3.2168007451849796
LightGBM_regressionl1osrm_sec,1.665931954987113,3.387761051932159
Log-XGB + osrm_sec+osrm_km,1.6686070441496506,3.242116850834416
Log-XGB + osrm_km,1.6712360027218685,3.242366603238723
Log-XGB + osrm_sec,1.6729364895160792,3.239801538651122
BLENDED Light GBM and XGBOOST + none,1.744945774625701,3.2974882815627744
LightGBMkm_pred+sec_pred+osrm_sec+osrm_km,1.752053948093087,3.23744845372538
XGBoostkm_pred+sec_pred,1.7524465029443508,3.2523924090218053
XGBoostkm_pred+sec_pred+osrm_km,1.7532005474545322,3.253429298903081
XGBoostkm_pred+sec_pred+osrm_sec,1.7536657720593236,3.2520021716602336
XGBoostsec_pred+osrm_sec+osrm_km,1.7537081992316044,3.2538307456777336
XGBoostsec_pred+osrm_km,1.753775531502067,3.2548602668513418
LightGBMsec_pred+osrm_sec+osrm_km,1.7540267040680722,3.231957390468066
LightGBMkm_pred+sec_pred+osrm_km,1.7542556614464784,3.2389313264767363
XGBoostsec_pred+osrm_sec,1.7544298435518375,3.2526760827845664
LightGBMkm_pred+sec_pred,1.7546095225407516,3.239680742825945
XGBoostsec_pred,1.7548774451938425,3.2513904813154824
LightGBMsec_pred+osrm_km,1.7550524465856479,3.2387950773555665
Log-XGB + none,1.7557932122227295,3.288931763781541
XGBoostkm_pred+sec_pred+osrm_sec+osrm_km,1.7559331224307637,3.253333924845809
XGBoostkm_pred+osrm_sec,1.7561870838445437,3.2491412790879166
LightGBMkm_pred+sec_pred+osrm_sec,1.7566964086831096,3.2382879924847963
XGBoostkm_pred+osrm_sec+osrm_km,1.7571154852473339,3.252971252399632
XGBoostkm_pred,1.758176237158856,3.2499632706839727
LightGBM_regressionl1none,1.7584413455805146,3.43215619853526
XGBoostkm_pred+osrm_km,1.7623925592215945,3.2544154524072653
LightGBMkm_pred,1.7629350704721662,3.2432218363596603
LightGBMsec_pred,1.7630578026306332,3.2453014451384607
LightGBMsec_pred+osrm_sec,1.7638376254777548,3.2421913490485106
Log-LightGBM and none,1.7646233906054318,3.3253318878605516
LightGBMkm_pred+osrm_sec+osrm_km,1.7646521130599317,3.2421772856278097
LightGBMkm_pred+osrm_sec,1.766706873544554,3.248645995621496
LightGBMkm_pred+osrm_km,1.7672373737743536,3.2485917793358463
Light GBM Log Quantile Median Regression + none,1.7734929337123457,3.4237072592622817
XGBoostosrm_sec+osrm_km,1.7750528995064005,3.2820525016575033
XGBoostosrm_sec,1.7762350211651257,3.2809091201475264
XGBoostosrm_km,1.7792837831894845,3.285522579929522
LightGBMosrm_sec+osrm_km,1.788617667752039,3.285896414200142
LightGBMosrm_km,1.7923125242885458,3.290218576420285
LightGBMosrm_sec,1.7936651492767286,3.2885282056968155
XGBoostnone,1.8446971415666809,3.326970992928004
LightGBMnone,1.9209085561973378,3.36250593534165
KNN (k=8)sec_pred+osrm_km,1.941627709162669,3.430534179675097
KNN (k=8)km_pred+sec_pred,1.946058572352081,3.438474341470196
KNN (k=8)sec_pred+osrm_sec,1.9470664063829064,3.445052354025856
KNN (k=8)km_pred+sec_pred+osrm_km,1.9491854649382463,3.434583560762938
KNN (k=8)sec_pred+osrm_sec+osrm_km,1.95169056854139,3.4408050023429166
KNN (k=8)km_pred+sec_pred+osrm_sec,1.9562202715116876,3.4477354743599773
KNN (k=8)km_pred+sec_pred+osrm_sec+osrm_km,1.9593367867714608,3.4466143352521224
KNN (k=8)sec_pred,1.9603632064237355,3.4582852310728804
KNN (k=8)km_pred+osrm_sec,1.998868318532884,3.4912922927104386
KNN (k=8)km_pred+osrm_sec+osrm_km,1.9999876237623764,3.485432029952712
KNN (k=8)km_pred,2.004058130039808,3.493953695670037
KNN (k=8)km_pred+osrm_km,2.00540756524106,3.4891282683959384
KNN (k=8)osrm_sec+osrm_km,2.0358668254398755,3.582370528133973
KNN (k=8)osrm_km,2.037111740176967,3.590068915112444
KNN (k=8)osrm_sec,2.041275765332068,3.5940990470070764
ElasticNetkm_pred+sec_pred+osrm_km,2.075489611905626,3.5017792669366683
ElasticNetkm_pred+sec_pred+osrm_sec+osrm_km,2.0754896174361925,3.501779277443746
LinearRegkm_pred+sec_pred+osrm_sec+osrm_km,2.0755065308047405,3.50187546561891
LinearRegkm_pred+sec_pred+osrm_km,2.0757376912903336,3.501854273011707
ElasticNetkm_pred+sec_pred+osrm_sec,2.0779795067654065,3.505760518364005
ElasticNetkm_pred+sec_pred,2.078068551569673,3.50578237877934
LinearRegkm_pred+sec_pred+osrm_sec,2.0782841544640567,3.5059237554674114
LinearRegkm_pred+sec_pred,2.078624026964656,3.505949018590866
ElasticNetsec_pred+osrm_km,2.083989552004626,3.5189239325712123
ElasticNetsec_pred+osrm_sec+osrm_km,2.0845764700548046,3.5173802003206283
LinearRegsec_pred+osrm_km,2.084598285749188,3.5190921357034664
LinearRegsec_pred+osrm_sec+osrm_km,2.0850958360744234,3.517534329452939
ElasticNetsec_pred+osrm_sec,2.0955112705450087,3.5288590085860965
LinearRegsec_pred+osrm_sec,2.096224014433617,3.5289669063718865
ElasticNetsec_pred,2.140592134647328,3.5955164782099254
LinearRegsec_pred,2.141492424289388,3.5956006376207124
LinearRegkm_pred+osrm_sec+osrm_km,2.153719720466026,3.581380247045425
ElasticNetkm_pred+osrm_sec+osrm_km,2.156038625756919,3.582083090580119
DecisionTreesec_pred,2.1588312505674208,3.8201759830206896
DecisionTreekm_pred+sec_pred,2.1598407735329346,3.87652233848282
DecisionTreesec_pred+osrm_km,2.1627762443154817,3.8665474439437015
DecisionTreekm_pred+sec_pred+osrm_km,2.1630245873530933,3.883652115036959
DecisionTreekm_pred+sec_pred+osrm_sec,2.166840736506921,3.8561467388081567
DecisionTreekm_pred+sec_pred+osrm_sec+osrm_km,2.170228907193253,3.874400465686292
ElasticNetkm_pred+osrm_sec,2.171176252710006,3.5968508499487992
LinearRegkm_pred+osrm_sec,2.171704935723816,3.5970036173560125
LinearRegkm_pred+osrm_km,2.1717250243166912,3.604351312209291
DecisionTreesec_pred+osrm_sec+osrm_km,2.1721273305568096,3.8570601591530607
ElasticNetkm_pred+osrm_km,2.1755370905903555,3.6053809591931674
ElasticNetkm_pred,2.1924928698180843,3.621186574748373
LinearRegkm_pred,2.1926437081501176,3.621358957610768
DecisionTreesec_pred+osrm_sec,2.2007147955285085,3.940512740242188
ElasticNetosrm_sec+osrm_km,2.223099156198129,3.7016981104310887
LinearRegosrm_sec+osrm_km,2.22345761722023,3.70174222673788
ElasticNetosrm_sec,2.226011313588348,3.7047421077418656
LinearRegosrm_sec,2.226451178404688,3.7048167249992265
DecisionTreekm_pred+osrm_sec,2.2398539206831387,3.956316042000725
DecisionTreekm_pred,2.2461913689882467,3.949909818423444
DecisionTreekm_pred+osrm_km,2.2500708097758952,3.965879864510156
KNN (k=8)none,2.25292622881356,3.919596664430084
DecisionTreekm_pred+osrm_sec+osrm_km,2.257851724328267,3.984553437070392
DecisionTreeosrm_km,2.257926429853314,3.9695201555659487
DecisionTreeosrm_sec,2.259749448366588,3.992204345890925
DecisionTreeosrm_sec+osrm_km,2.2731343412810023,4.011387562139743
LinearRegosrm_km,2.278771666637414,3.7706380074982575
ElasticNetosrm_km,2.278889718729733,3.770705813723761
DecisionTreenone,2.762073565374393,4.481670754784724
LinearRegnone,3.711329086984544,5.372297630648047
ElasticNetnone,3.711573622110688,5.37248492154854
