Model,MAE,RMSE
Light GBM Log Quantile Median Regression + km_pred+sec_pred+osrm_km,1.6023718168843741,3.1958905052046593
Light GBM Log Quantile Median Regression + sec_pred+osrm_km,1.6026404600333668,3.196153908387535
Light GBM Log Quantile Median Regression + km_pred+sec_pred,1.6029770480312282,3.2010723990559597
Light GBM Log Quantile Median Regression + km_pred+sec_pred+osrm_sec,1.6030132493625846,3.198942357100624
LightGBM_regressionl1km_pred+sec_pred,1.6048964877257927,3.2019877918728064
Light GBM Log Quantile Median Regression + km_pred+sec_pred+osrm_sec+osrm_km,1.6059290851945542,3.1987510954013243
Light GBM Log Quantile Median Regression + sec_pred+osrm_sec+osrm_km,1.6067457168875312,3.202706524149979
Light GBM Log Quantile Median Regression + km_pred+osrm_sec+osrm_km,1.6075667525665245,3.210898776240954
Light GBM Log Quantile Median Regression + km_pred+osrm_sec,1.6081726421845668,3.2100438171639265
Light GBM Log Quantile Median Regression + km_pred+osrm_km,1.6092156420982497,3.210972089396998
BLENDED Light GBM and XGBOOST + km_pred+sec_pred,1.6096141459933784,3.0761648520033558
LightGBM_regressionl1km_pred+sec_pred+osrm_km,1.609614612843999,3.206958374376899
Light GBM Log Quantile Median Regression + km_pred,1.6096207981590718,3.215293337327793
BLENDED Light GBM and XGBOOST + km_pred+osrm_sec,1.6098116158787288,3.0751566188812216
Log-LightGBM and km_pred+sec_pred,1.609832025184096,3.0868901199944667
Log-LightGBM and km_pred+osrm_sec,1.6100128274584191,3.084085962229825
Log-LightGBM and km_pred+sec_pred+osrm_km,1.6101018921502122,3.0840555369264973
BLENDED Light GBM and XGBOOST + sec_pred+osrm_km,1.6104300249011807,3.0704880427205463
BLENDED Light GBM and XGBOOST + km_pred+osrm_sec+osrm_km,1.6105618305006983,3.074474117968253
BLENDED Light GBM and XGBOOST + km_pred+sec_pred+osrm_km,1.6108445507071387,3.0745362163215795
Log-LightGBM and km_pred+osrm_sec+osrm_km,1.6109677467884571,3.0841358279908055
BLENDED Light GBM and XGBOOST + km_pred+osrm_km,1.6110091084126787,3.0737444203510154
BLENDED Light GBM and XGBOOST + km_pred,1.6110181035784292,3.076148195760067
Log-LightGBM and sec_pred+osrm_km,1.611106604793594,3.0814688956496563
LightGBM_regressionl1sec_pred+osrm_km,1.6111678676823529,3.2078566262286317
LightGBM_regressionl1sec_pred+osrm_sec+osrm_km,1.6112452400954274,3.2094586431655436
Log-LightGBM and km_pred+sec_pred+osrm_sec+osrm_km,1.6113767182461742,3.0846884274511934
Log-LightGBM and km_pred+osrm_km,1.6114288992155286,3.0830241016876356
Log-LightGBM and km_pred,1.6119955931133225,3.0860092118607847
Log-LightGBM and km_pred+sec_pred+osrm_sec,1.6122907989926485,3.08146164741264
BLENDED Light GBM and XGBOOST + km_pred+sec_pred+osrm_sec+osrm_km,1.6127590049283482,3.0759901814524375
BLENDED Light GBM and XGBOOST + km_pred+sec_pred+osrm_sec,1.6131548633166082,3.0738267932899976
Light GBM Log Quantile Median Regression + sec_pred+osrm_sec,1.6139618925579156,3.2060369134010895
LightGBM_regressionl1km_pred+sec_pred+osrm_sec,1.614047479074648,3.219841726813306
Log-LightGBM and sec_pred+osrm_sec+osrm_km,1.615417026550488,3.089640047023647
BLENDED Light GBM and XGBOOST + sec_pred+osrm_sec+osrm_km,1.616163232713033,3.080331253708467
LightGBM_regressionl1km_pred+sec_pred+osrm_sec+osrm_km,1.6164076457109073,3.2195371382219773
LightGBM_regressionl1sec_pred,1.61778534158505,3.205074027747335
BLENDED Light GBM and XGBOOST + sec_pred,1.6186774760648093,3.0730264702261967
BLENDED Light GBM and XGBOOST + sec_pred+osrm_sec,1.618806818574872,3.0763115861779444
Light GBM Log Quantile Median Regression + sec_pred,1.6191333292253365,3.2090602252522014
Log-LightGBM and sec_pred+osrm_sec,1.6193385900655721,3.087276000928514
Log-LightGBM and sec_pred,1.619499279518177,3.0830859676866593
LightGBM_regressionl1km_pred,1.6208993047851221,3.2346270221562765
LightGBM_regressionl1km_pred+osrm_sec+osrm_km,1.6213096758415493,3.2269427694011434
LightGBM_regressionl1km_pred+osrm_sec,1.6220363812873797,3.2320343669425426
LightGBM_regressionl1sec_pred+osrm_sec,1.624870857040192,3.2233145705935797
LightGBM_regressionl1km_pred+osrm_km,1.626997800052375,3.2397733258840584
Light GBM Log Quantile Median Regression + osrm_sec+osrm_km,1.6327776125866242,3.2895852011051763
BLENDED Light GBM and XGBOOST + osrm_sec+osrm_km,1.6378056871499391,3.1692992911863764
BLENDED Light GBM and XGBOOST + osrm_km,1.6395268631392808,3.170183625085639
